"NOTE: Femme / safe house: ~10-12 women, kitchen required, 3-6 months. 2550 Van Ness (Minerva) is the live option; these are the alternatives and backups."
Rank,Name,Detail,Address,Neighborhood,Beds est,$/bed est,$ now (verified),Kitchen,Walk min,Sept 15 ready,Walk-in ready,Deal channel,Score,Status,Outreach,Contact,Phone,Email / path,The play,id
1,Hive Coliving (was Tribe),,"1040 Folsom St, SoMa, SF",SoMa,80,588,,communal,10,true,yes,operator,97,active,not-contacted, - ,(845) 304-8555,hivecolivingsf.com,Portfolio takeover / block,pl-hive-coliving-was-tribe
2,FOUND Study SF,built for exactly this,"16 Turk St / 25 Mason St, Mid-Market SF",Civic Center,144,1300,,communal,5,true,yes,unknown,92.5,active,not-contacted,Group/institutional advisor · SF GM,(917) 551-5588 · (628) 246-9210 ⚠ · corporate (866) 341-2818,gm@sf.foundstudy.com,Group contract (they already do university blocks),pl-found-study-sf-built-for-exactly-this
3,Boston Hotel (SRO),,"140 Turk St, SF",Civic Center,32,1300,,communal,6,unknown,unknown,broker,84.5,on-market,not-contacted,Jag Patel - Lee & Associates,(415) 517-9856,jpatel@lee-associates.com,"Lowball both; Blue broker: Theodore Wong (Compass), 650-228-9930",pl-boston-hotel-sro
4,AAU dorm,736 Jones St,"736 Jones St, Nob Hill, SF",Nob Hill,72,650,,communal,18,unknown,unknown,institution,84,dark,not-contacted,"AAU Housing Office - existing landlord, warm intro",via 79 New Montgomery switchboard,academyart.edu/campus-athletics/housing,One motivated seller - M&M brokers,pl-aau-dorm-736-jones-st
5,The Bartlett Residences,,Union Square,Union Square,10,1295,,communal,10,unknown,yes,operator,76.63,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-the-bartlett-residences
6,The Herbert Residences,,Union Square (~161 Powell St),Union Square,12,1295,,communal,9,unknown,yes,operator,76.63,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-the-herbert-residences
7,Hotel Epik Residences,,706 Polk St,Civic Center,18,1200,,communal,15,unknown,yes,operator,74,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-hotel-epik-residences
8,Monroe Residence Club,,"1870 Sacramento St, Nob Hill, SF",Nob Hill,50,1600,,communal,27,true,yes,unknown,73,active,not-contacted, - ,(415) 474-6200,reservations@monroeresidenceclub.com,Direct approach,pl-monroe-residence-club
9,Kenmore Residence Club,,"1570 Sutter St, Lower Nob Hill, SF",Nob Hill,50,1800,,communal,26,true,yes,unknown,69,active,not-contacted, - ,(415) 776-5815,office@kenmorehotelsf.com,Direct approach,pl-kenmore-residence-club
10,Blue Hotel,,"620-626 O'Farrell St, SF",Civic Center,13,1300,,unknown,10,unknown,unknown,broker,66.5,on-market,not-contacted,Theodore Wong - Compass Commercial,(650) 228-9930, - ,"Lowball both; Blue broker: Theodore Wong (Compass), 650-228-9930",pl-blue-hotel
11,2436 Mission Residences,,2436 Mission St,Mission,8,1195,,communal,26,unknown,yes,operator,63.13,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-2436-mission-residences
12,Lovely North Beach / Chinatown Hotel,,North Beach,North Beach,20,1600,,communal,29,true,yes,operator,63,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-lovely-north-beach-chinatown-hotel
13,20mish,,"Mission District, SF",Mission,40,1625,,communal,40,unknown,yes,operator,54.38,active,not-contacted,Resident manager Stephanie, - ,Interest form: forms.gle/5tP3NrDf7ZgKzRtm7 · Discord via 20mish.com,Bridge or long-term takeover,pl-20mish
14,The Perramont,,Castro,Castro,10,1395,,communal,40,unknown,yes,operator,44.13,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-the-perramont
15,Presidio Residences,national-park living at target price,"Presidio, SF (24 neighborhoods, 1,100+ units)",Presidio,30,1800,,private,60,true,yes,unknown,42,active,not-contacted,Main / West office,(844) 808-6177 · (844) 729-8087,leasing@presidio-residences.com,Interest-form queue; slow at scale,pl-presidio-residences-national-park-living-at-targ
16,The Red Victorian,,"1665 Haight St, Haight",Haight,18,1400,,communal,63,unknown,yes,operator,39,active,not-contacted,,,,,inv-the-red-victorian
