"NOTE: Main cohort, 40-50 people. Buildings with 35+ beds in SF, ranked by score. Fitzgerald baseline rows pinned on top: beat these or we stay put."
Rank,Name,Detail,Address,Neighborhood,Beds est,$/bed est,$ now (verified),Kitchen,Walk min,Sept 15 ready,Walk-in ready,Deal channel,Score,Status,Outreach,Contact,Phone,Email / path,The play,id
1,620 Post St Residences (Fitzgerald co-living),CURRENT,"620 Post St, Nob Hill/Union Sq",Nob Hill,20,1595,,unknown,15,false,yes,operator,62.13,active,contacted by Alex,,,,,inv-620-post-st-residences-fitzgerald-co-living-curr
2,Fitzgerald co-living floors (current deal),current deal (baseline),"620 Post St, Nob Hill/Union Sq, SF",Nob Hill,20,1595,,unknown,15,false,yes,operator,62.13,active,not-contacted,,,,Current deal - every row is compared to this,pl-baseline-fitzgerald-co-living-floors-current-dea
3,Fitzgerald Hotel (nightly hotel side),CURRENT,620 Post St,Union Square,50,3300,,none,15,false,yes,operator,40,active,contacted by Alex,,,,,inv-fitzgerald-hotel-nightly-hotel-side-current
4,Fitzgerald Hotel nightly side,current deal (baseline),"620 Post St, SF",Nob Hill,50,3300,,none,15,false,yes,unknown,40,active,not-contacted,,,,The hotel-swap setup we are leaving,pl-baseline-fitzgerald-hotel-nightly-side
5,Brownstone Shared Housing,,"1049 Market St + 12 Mint Plaza, SF",Civic Center,400,950,,communal,3,true,yes,operator,100,active,not-contacted,James Stallworth,(650) 470-9278,hey@brownstone.live,Bridge - cheapest,pl-brownstone-shared-housing
6,Urbanests,partnership angle,1412 Market (ex-Inn at Market) + SoMa buildings,SoMa,440,845,,communal,10,true,yes,operator,100,active,not-contacted,Reservations/partnerships,(415) 949-0067,reservations@urbanests.com,Block or partnership/sublease inquiry,pl-urbanests-partnership-angle
7,Hive Coliving (was Tribe),,"1040 Folsom St, SoMa, SF",SoMa,80,588,,communal,10,true,yes,operator,97,active,not-contacted, - ,(845) 304-8555,hivecolivingsf.com,Portfolio takeover / block,pl-hive-coliving-was-tribe
8,UpMarket Residences,,221 7th St,SoMa,110,995,995 (2026-08-22 via booking-page),communal,11,unknown,yes,operator,94,active,contacted by Alex,,(415) 949-0067,reservations@urbanests.com,,inv-upmarket-residences
9,FOUND Study SF,built for exactly this,"16 Turk St / 25 Mason St, Mid-Market SF",Civic Center,144,1300,,communal,5,true,yes,unknown,92.5,active,not-contacted,Group/institutional advisor · SF GM,(917) 551-5588 · (628) 246-9210 ⚠ · corporate (866) 341-2818,gm@sf.foundstudy.com,Group contract (they already do university blocks),pl-found-study-sf-built-for-exactly-this
10,Panoramic Residences,,"1321 Mission St (9th & Mission), SoMa",SoMa,160,1200,,communal,10,unknown,yes,operator,90,active,contacted by Alex,,,,,inv-panoramic-residences
